gene_id,Description,all_mean,mean_cv
ENSG00000002016.16,RAD52,6.492253436528699,72.83352590761842
ENSG00000003147.17,ICA1,36.35685974442588,35.940839784013775
ENSG00000004487.15,KDM1A,27.47695042128436,24.634953360433723
ENSG00000004766.15,VPS50,16.67505160217455,48.83304179213385
ENSG00000004809.13,SLC22A16,4.114477868317549,91.34053724450574
ENSG00000005243.9,COPZ2,12.246948499167368,61.634047971976
ENSG00000005469.11,CROT,4.177627310294582,57.13363092797937
ENSG00000005812.10,FBXL3,34.47615837890749,30.30239012228314
ENSG00000006625.17,GGCT,14.14013103297967,48.637926382202025
ENSG00000006695.10,COX10,10.491338153153873,50.85644212481037
ENSG00000006831.9,ADIPOR2,21.263785773168415,41.69047425209949
ENSG00000007350.16,TKTL1,8.26247353474552,74.73465836115047
ENSG00000008294.20,SPAG9,33.61280335778825,36.0684841110459
ENSG00000010219.13,DYRK4,17.81921188162632,54.88980117847485
ENSG00000010404.17,IDS,160.01969453722018,28.253700640642393
ENSG00000011009.10,LYPLA2,89.79840383981502,34.66412680246673
ENSG00000011198.7,ABHD5,22.47508571953216,35.422223959111996
ENSG00000012174.11,MBTPS2,1.254066478930744,74.72617711379284
ENSG00000013016.14,EHD3,60.53952995145987,34.156388070386754
ENSG00000013503.9,POLR3B,2.6526894760397797,68.41936587974088
ENSG00000015171.18,ZMYND11,46.34057163068216,25.661998405021087
ENSG00000020181.17,ADGRA2,3.2322501493518105,78.64867398937726
ENSG00000020922.12,MRE11A,13.178968147387351,46.65200944613664
ENSG00000021300.13,PLEKHB1,26.441199544346993,70.61507426746525
ENSG00000025039.14,RRAGD,10.271395241616853,40.316158813231866
ENSG00000026103.19,FAS,15.93086163054626,55.09379388266336
ENSG00000030582.16,GRN,88.74792789169017,46.114352687314955
ENSG00000034693.14,PEX3,7.79698389105592,57.2439796603167
ENSG00000036257.12,CUL3,41.29509727925995,27.699964397585973
ENSG00000037042.8,TUBG2,6.676896340355738,69.66505066371157
ENSG00000038002.8,AGA,10.013266591141166,68.27861559216063
ENSG00000041988.15,THAP3,8.53949168210328,55.900826607947664
ENSG00000044115.20,CTNNA1,103.83835199432755,33.384988762731055
ENSG00000046647.13,GEMIN8,7.086036971567467,71.20234486766387
ENSG00000048342.15,CC2D2A,4.248195227738805,88.32555236841574
ENSG00000049130.13,KITLG,9.90441201768824,52.017569927279666
ENSG00000051341.13,POLQ,1.9078137719565336,71.30349883068712
ENSG00000053372.4,MRTO4,9.074518143460926,49.97650835415076
ENSG00000054116.11,TRAPPC3,56.62595167986111,31.131780731854512
ENSG00000054282.15,SDCCAG8,24.95425107500675,38.367357344790065
ENSG00000055118.14,KCNH2,17.322248227311924,53.230499790048626
ENSG00000058063.15,ATP11B,35.537417929910326,32.503051054318455
ENSG00000059728.10,MXD1,74.19227220926028,20.947021126623486
ENSG00000061676.14,NCKAP1,25.54977518238613,33.12484015305742
ENSG00000062822.12,POLD1,18.553019844730574,44.03967483626194
ENSG00000063176.15,SPHK2,15.64345661897496,69.24009917762989
ENSG00000064547.13,LPAR2,12.030031076484612,73.9478624752374
ENSG00000064652.10,SNX24,15.087649178610514,62.0256619376553
ENSG00000064961.18,HMG20B,88.63988963802943,26.523671456475206
ENSG00000064989.12,CALCRL,11.067386462832156,54.24785632884405
ENSG00000065154.11,OAT,14.18849870230648,32.110106218689566
ENSG00000065615.13,CYB5R4,34.638941356797595,40.82493608292803
ENSG00000065978.17,YBX1,1086.880225079103,16.529518708081536
ENSG00000066933.15,MYO9A,16.068319923954896,45.78436544472492
ENSG00000067182.7,TNFRSF1A,51.487717031299894,39.762074816630836
ENSG00000067248.9,DHX29,10.551992785258356,28.758588492024497
ENSG00000067840.12,PDZD4,16.503810843303395,46.87821929364803
ENSG00000068308.13,OTUD5,55.9768766542786,35.58138005779741
ENSG00000068438.14,FTSJ1,25.804709129929343,45.3829892797377
ENSG00000069122.18,ADGRF5,9.0887828761839,54.84117341363806
ENSG00000070081.15,NUCB2,45.15024269702181,35.212655344750644
ENSG00000070087.13,PFN2,8.388847623603912,71.06368406022841
ENSG00000070269.13,TMEM260,9.291168792178896,66.18958608046096
ENSG00000070770.8,CSNK2A2,24.119319326154898,28.89528592233541
ENSG00000071243.15,ING3,21.17505880734712,33.02443440417871
ENSG00000072274.12,TFRC,86.1942023547717,28.673520298912827
ENSG00000073711.10,PPP2R3A,1.3175797844230994,84.49726892173649
ENSG00000074266.17,EED,13.611255019744794,26.094367947053147
ENSG00000075340.22,ADD2,16.419717567753583,53.90905435551309
ENSG00000075407.17,ZNF37A,3.438184550755432,42.45909206024329
ENSG00000075420.12,FNDC3B,199.65354971478052,47.02823712569212
ENSG00000075785.12,RAB7A,215.2328703310457,20.919616134482894
ENSG00000076053.10,RBM7,27.205877124000644,47.48386638009814
ENSG00000076067.11,RBMS2,32.57133059802728,31.86164065662245
ENSG00000076513.16,ANKRD13A,66.07652340367655,26.6175876440496
ENSG00000077063.10,CTTNBP2,2.5742953220110505,113.31426911038285
ENSG00000077232.16,DNAJC10,8.535711442613584,45.40661300035484
ENSG00000077312.8,SNRPA,56.07265763327473,47.20923164808658
ENSG00000077514.8,POLD3,8.97564733120268,49.8419642677247
ENSG00000077984.5,CST7,136.89342029660534,33.09651071780101
ENSG00000078177.13,N4BP2,3.2931946511414467,49.04728670478233
ENSG00000079134.11,THOC1,9.366417029665836,47.124445304115525
ENSG00000079332.14,SAR1A,44.3095096042535,30.983888393997763
ENSG00000079482.12,OPHN1,53.12149951559915,57.43753748310463
ENSG00000081181.7,ARG2,17.79330389861683,59.7796852636327
ENSG00000081803.15,CADPS2,3.723818702686576,48.964957841979285
ENSG00000081870.11,HSPB11,21.392075917121133,38.6543603708465
